student_id,name,age,gender,attendance_rate,time_spent_hours,quiz_avg_score,assignments_completed,forum_posts,badges_earned,final_exam_score,final_grade,dropout_risk,feedback_text,sentiment
25,Meena Gupta,28,Female,1,53.1,0.7,5,19,6,68.59,C,0,Average experience,Neutral
26,Vijay Patel,28,Male,0.86,26.28,0.82,3,10,8,59.85,C,0,Nothing special,Neutral
27,Kavya Patel,18,Female,0.68,48.34,0.91,3,48,1,72.6,B,0,Loved the teaching style,Positive
28,Meena Iyer,21,Female,0.95,42.29,0.58,5,47,2,64.52,C,0,Normal learning experience,Neutral
29,Priya Kumar,30,Female,0.69,55.98,0.87,8,24,2,79.74,B,0,Very engaging and informative,Positive
30,Arun Iyer,30,Male,0.72,10.98,0.73,6,32,3,58.02,C,0,Average experience,Neutral
31,Rahul Nair,20,Female,0.6,23.04,0.85,9,2,0,63.85,C,0,Okay course,Neutral
32,Priya Nair,24,Female,0.83,11.7,1,8,45,5,74.97,B,0,Excellent platform for learning,Positive
33,Rahul Iyer,26,Female,0.75,46.2,0.67,7,29,0,69,C,0,Can be improved,Neutral
34,Rahul Das,22,Male,0.7,80.8,0.83,5,3,2,63.37,C,0,Normal learning experience,Neutral
35,Divya Reddy,25,Male,0.75,42.86,0.82,6,40,4,67.93,C,0,Normal learning experience,Neutral
36,Divya Verma,26,Male,0.73,51.11,0.61,7,31,6,67.51,C,0,Can be improved,Neutral
37,Rahul Sharma,18,Female,0.73,13.76,0.43,8,2,7,37.84,Fail,0,Not useful at all,Negative
38,Vijay Das,27,Male,0.52,60.84,0.53,4,16,7,45.73,D,0,Poor explanations,Negative
39,Priya Singh,29,Male,0.97,55.81,0.42,9,25,2,62.17,C,0,Nothing special,Neutral
40,Rahul Das,19,Female,0.88,18.46,0.46,8,15,2,57.37,C,0,Can be improved,Neutral
41,Kavya Iyer,22,Male,0.52,17.49,0.73,8,24,9,49.52,D,0,Not useful at all,Negative
42,Rahul Iyer,19,Male,0.39,45.36,0.62,6,41,5,53.97,D,0,Waste of time,Negative
43,Anjali Sharma,22,Male,0.82,11.8,0.89,6,43,4,65.71,C,0,Average experience,Neutral
44,Karthik Singh,20,Female,0.99,37.73,0.63,5,39,3,62.49,C,0,Average experience,Neutral
45,Rahul Kumar,24,Female,0.49,10.14,0.53,4,22,8,45.23,D,1,Very confusing content,Negative
46,Priya Iyer,27,Female,0.68,42.36,0.68,8,47,8,70.83,B,0,Helped me improve a lot,Positive
47,Ravi Verma,27,Female,0.5,53.77,1,9,2,9,70.32,B,0,Loved the teaching style,Positive
48,Ravi Das,30,Male,1,29.38,0.79,6,15,9,72.45,B,0,Excellent platform for learning,Positive
49,Kavya Kumar,24,Male,0.89,49,0.6,7,22,9,55.43,C,0,Normal learning experience,Neutral
50,Arun Patel,29,Female,1,59.85,0.67,4,18,9,67.34,C,0,Normal learning experience,Neutral
51,Ravi Gupta,29,Female,1,41.26,0.89,9,1,0,81.87,B,0,Helped me improve a lot,Positive
52,Priya Das,23,Male,0.82,53.89,0.82,5,32,0,76.54,B,0,Great course and very helpful,Positive
53,Anjali Kumar,28,Male,0.85,47.01,0.93,4,42,1,77.44,B,0,Very engaging and informative,Positive
54,Rahul Iyer,24,Male,0.77,33.55,0.95,7,25,9,63.85,C,0,Okay course,Neutral
55,Divya Das,21,Male,0.63,34.67,0.89,7,35,8,73.8,B,0,Very engaging and informative,Positive
56,Anjali Singh,30,Male,0.62,53.15,0.81,5,48,2,64.58,C,0,Normal learning experience,Neutral
57,Karthik Das,21,Female,0.39,21.69,0.57,8,31,4,53.15,D,0,Poor explanations,Negative
58,Karthik Iyer,20,Female,0.9,23.33,0.53,8,16,0,62.72,C,0,Normal learning experience,Neutral
59,Vijay Singh,28,Female,1,40.32,0.84,3,35,8,71.71,B,0,Helped me improve a lot,Positive
60,Vijay Iyer,25,Female,0.67,54.76,0.72,6,18,9,63.59,C,0,Can be improved,Neutral
61,Sneha Das,25,Male,0.59,71.39,0.5,5,20,3,49.91,D,0,Not useful at all,Negative
62,Priya Kumar,19,Female,1,46.07,0.72,8,6,7,70.43,B,0,Loved the teaching style,Positive
63,Suresh Verma,22,Male,0.66,43.48,0.41,6,16,6,42.96,D,0,Too difficult to follow,Negative
64,Ravi Patel,28,Male,0.61,36.8,0.76,5,9,9,62.64,C,0,Can be improved,Neutral
65,Suresh Sharma,24,Male,0.61,11.86,0.59,8,19,7,42.71,D,0,Not useful at all,Negative
66,Rahul Verma,19,Female,0.81,27.59,0.8,8,48,8,79.08,B,0,Helped me improve a lot,Positive
67,Ravi Sharma,26,Female,0.68,46.87,0.71,5,36,3,68.19,C,0,Okay course,Neutral
68,Sneha Patel,28,Male,0.84,40.82,1,8,14,0,76.2,B,0,Loved the teaching style,Positive
69,Karthik Gupta,27,Male,0.99,67.24,0.68,6,7,9,75.83,B,0,Excellent platform for learning,Positive
70,Vijay Reddy,24,Male,0.72,19.67,0.91,6,36,8,56.98,C,0,Normal learning experience,Neutral
71,Divya Reddy,25,Male,0.69,15.1,1,7,12,2,55.66,C,0,Average experience,Neutral
72,Arun Das,28,Male,0.9,62.15,0.84,4,44,4,76.77,B,0,Helped me improve a lot,Positive
73,Arun Patel,22,Female,0.74,35.77,0.76,9,24,5,60.47,C,0,Can be improved,Neutral
74,Anjali Iyer,26,Female,0.8,58.49,0.74,7,30,4,68.48,C,0,Can be improved,Neutral
75,Rahul Patel,25,Female,0.75,40.7,0.61,8,8,0,61.65,C,0,Can be improved,Neutral
76,Divya Iyer,18,Male,0.77,47.72,0.84,4,27,7,61.62,C,0,Okay course,Neutral
77,Divya Kumar,21,Female,0.75,33.61,0.96,4,11,0,63.76,C,0,Can be improved,Neutral
78,Ravi Verma,27,Male,1,66.33,0.65,9,46,6,85.82,A,0,Helped me improve a lot,Positive
79,Karthik Das,26,Female,0.88,60.53,0.51,8,33,5,71.84,B,0,Great course and very helpful,Positive
80,Arun Reddy,18,Male,1,59.11,0.53,4,37,0,69.7,C,0,Can be improved,Neutral
81,Ravi Kumar,19,Female,0.65,60.02,0.9,7,28,3,72.76,B,0,Helped me improve a lot,Positive
82,Arun Das,19,Female,0.99,37.84,0.73,4,12,2,63.16,C,0,Can be improved,Neutral
83,Kavya Das,25,Female,0.32,70.48,0.35,6,39,3,55.5,C,0,Nothing special,Neutral
84,Suresh Das,25,Male,0.9,35.64,1,4,18,4,70.13,B,0,Excellent platform for learning,Positive
85,Divya Patel,30,Female,0.64,28.11,0.68,4,45,1,53.05,D,0,Not useful at all,Negative
86,Ravi Reddy,19,Female,0.68,27.72,0.57,9,21,7,54.88,D,0,Waste of time,Negative
87,Vijay Kumar,29,Male,0.73,36.69,0.82,7,14,7,67.43,C,0,Normal learning experience,Neutral
88,Sneha Gupta,25,Female,1,35.34,0.57,7,25,7,55.21,C,0,Nothing special,Neutral
89,Sneha Kumar,19,Male,0.83,28.23,0.79,6,44,1,72.3,B,0,Very engaging and informative,Positive
90,Anjali Sharma,25,Male,1,3.15,0.54,7,27,9,54.71,D,0,Too difficult to follow,Negative
91,Meena Sharma,25,Female,0.99,43.35,0.72,3,16,3,61.79,C,0,Normal learning experience,Neutral
92,Kavya Das,24,Male,0.31,34.13,0.64,6,46,5,61.39,C,0,Average experience,Neutral
93,Arun Singh,24,Female,1,48.08,0.49,3,36,5,63.56,C,0,Okay course,Neutral
94,Arun Iyer,23,Female,0.8,52.6,0.7,8,36,8,62.53,C,0,Nothing special,Neutral
95,Rahul Nair,24,Male,0.68,36.42,0.61,6,29,7,54.65,D,0,Poor explanations,Negative
96,Priya Kumar,24,Male,0.25,50.27,0.78,6,14,5,49.33,D,0,Poor explanations,Negative
97,Priya Verma,21,Male,0.75,46.77,0.86,4,14,7,67.29,C,0,Okay course,Neutral
98,Sneha Gupta,18,Female,1,38.71,0.52,6,48,0,72.14,B,0,Excellent platform for learning,Positive
99,Anjali Singh,29,Female,0.45,51.97,0.47,6,12,2,47.73,D,0,Waste of time,Negative
100,Karthik Gupta,20,Male,0.72,33.89,0.58,7,8,0,58.18,C,0,Okay course,Neutral
101,Rahul Gupta,30,Female,0.74,24.64,0.96,9,48,4,76.85,B,0,Loved the teaching style,Positive
102,Anjali Iyer,27,Female,0.82,30.94,0.72,8,28,7,65.21,C,0,Nothing special,Neutral
103,Arun Sharma,30,Female,0.86,50.45,0.8,7,4,2,70.07,B,0,Very engaging and informative,Positive
104,Vijay Iyer,19,Male,0.81,71.13,0.87,3,17,7,69.4,C,0,Average experience,Neutral
105,Divya Singh,26,Male,1,34.02,0.75,3,22,0,70.73,B,0,Loved the teaching style,Positive
106,Rahul Reddy,23,Female,0.82,36.71,0.87,5,38,2,59.59,C,0,Can be improved,Neutral
107,Priya Nair,23,Female,0.38,28.53,0.88,6,14,0,57.76,C,0,Okay course,Neutral
108,Karthik Verma,20,Male,0.94,41.23,0.6,3,36,6,66.67,C,0,Okay course,Neutral
109,Meena Verma,25,Male,0.68,33.62,0.69,4,32,5,67.43,C,0,Nothing special,Neutral
110,Sneha Gupta,19,Male,1,33.33,0.61,6,44,1,67,C,0,Nothing special,Neutral
111,Kavya Nair,30,Male,0.76,37.97,1,5,4,3,68.78,C,0,Nothing special,Neutral
112,Rahul Patel,27,Female,0.39,62.44,0.83,6,25,7,59.81,C,0,Normal learning experience,Neutral
113,Anjali Patel,28,Male,1,41.94,0.72,6,4,7,70.42,B,0,Helped me improve a lot,Positive
114,Divya Gupta,22,Female,0.63,59.53,0.57,6,22,8,55.83,C,0,Average experience,Neutral
115,Anjali Verma,30,Female,0.5,23.51,0.81,9,8,4,47.81,D,0,Very confusing content,Negative
116,Vijay Patel,29,Male,0.96,31.26,0.87,5,37,1,61.95,C,0,Normal learning experience,Neutral
117,Rahul Das,30,Male,0.44,-1.77,0.73,5,43,2,52.22,D,1,Not useful at all,Negative
118,Vijay Reddy,18,Female,0.84,17.05,0.91,5,21,9,61.62,C,0,Average experience,Neutral
119,Meena Sharma,27,Male,0.7,23.4,1,7,29,6,68.78,C,0,Nothing special,Neutral
120,Vijay Das,28,Male,1,35.06,0.61,3,44,7,56.49,C,0,Okay course,Neutral
121,Meena Sharma,27,Male,0.42,50.51,0.75,8,27,0,67.69,C,0,Average experience,Neutral
122,Karthik Das,25,Male,1,8.9,0.63,7,38,2,63.42,C,0,Okay course,Neutral
123,Meena Singh,20,Female,0.47,28.33,0.48,9,27,1,57.33,C,0,Normal learning experience,Neutral
124,Rahul Gupta,21,Male,0.7,55.36,0.38,9,7,5,55.58,C,0,Normal learning experience,Neutral
125,Suresh Patel,21,Female,0.91,11.79,0.73,4,34,7,67.25,C,0,Normal learning experience,Neutral
126,Meena Patel,18,Female,0.89,46.66,0.63,7,20,6,71.73,B,0,Helped me improve a lot,Positive
127,Divya Singh,21,Female,0.42,66.47,0.45,4,2,6,39.71,Fail,0,Too difficult to follow,Negative
128,Sneha Gupta,23,Female,0.99,29.95,0.89,5,21,7,69.79,C,0,Can be improved,Neutral
129,Priya Verma,27,Female,0.78,25.36,0.7,3,49,2,63.94,C,0,Can be improved,Neutral
130,Suresh Reddy,24,Male,1,41.32,0.54,3,21,3,69.77,C,0,Can be improved,Neutral
131,Divya Gupta,19,Male,0.97,57.27,0.72,4,35,8,79.71,B,0,Great course and very helpful,Positive
132,Priya Iyer,20,Male,0.83,14.46,0.91,9,41,5,74.65,B,0,Excellent platform for learning,Positive
133,Ravi Iyer,20,Female,0.8,54.74,1,9,9,0,80.82,B,0,Loved the teaching style,Positive
134,Arun Reddy,29,Male,0.38,20.81,0.58,6,42,0,47.49,D,0,Too difficult to follow,Negative
135,Priya Iyer,23,Female,0.79,28.67,0.58,5,35,0,51.8,D,0,Very confusing content,Negative
136,Vijay Nair,18,Male,0.9,62.51,0.67,8,21,4,74.58,B,0,Excellent platform for learning,Positive
137,Vijay Patel,30,Female,0.4,38.14,0.45,6,42,0,48.25,D,0,Not useful at all,Negative
138,Rahul Kumar,30,Female,1,38.56,0.93,7,8,8,70.7,B,0,Great course and very helpful,Positive
139,Divya Iyer,23,Male,0.54,13.29,0.85,3,38,2,62.96,C,0,Nothing special,Neutral
140,Divya Nair,18,Female,0.85,47.99,0.48,4,11,2,60.35,C,0,Average experience,Neutral
141,Sneha Singh,25,Male,0.95,31.08,0.74,6,15,7,75.65,B,0,Loved the teaching style,Positive
142,Suresh Iyer,29,Female,0.89,59.29,0.86,8,7,8,78.41,B,0,Very engaging and informative,Positive
143,Karthik Singh,24,Female,0.8,51.02,0.64,4,46,9,67.21,C,0,Normal learning experience,Neutral
144,Kavya Verma,21,Male,0.5,79.09,0.55,9,8,2,56.11,C,0,Okay course,Neutral
145,Suresh Singh,18,Male,0.74,50.22,0.71,4,41,6,65.89,C,0,Normal learning experience,Neutral
146,Ravi Kumar,22,Female,0.77,33.07,0.61,4,2,4,50.87,D,0,Not useful at all,Negative
147,Arun Gupta,21,Male,0.24,59.47,0.99,3,3,5,42.87,D,0,Not useful at all,Negative
148,Arun Verma,24,Female,0.96,17.72,0.75,8,1,6,67.49,C,0,Nothing special,Neutral
149,Rahul Patel,22,Male,0.8,39.7,0.83,5,38,3,68.58,C,0,Okay course,Neutral
150,Rahul Singh,26,Female,0.75,31.67,0.38,3,9,8,47.87,D,0,Too difficult to follow,Negative
151,Anjali Sharma,27,Female,0.81,8.72,0.33,4,3,1,39.05,Fail,0,Too difficult to follow,Negative
152,Rahul Iyer,21,Male,0.36,21.89,0.49,4,36,4,44.49,D,0,Poor explanations,Negative
153,Vijay Sharma,26,Male,0.72,27.62,1,3,6,3,58,C,0,Normal learning experience,Neutral
154,Divya Singh,25,Male,0.72,30.11,0.6,5,44,9,62.41,C,0,Nothing special,Neutral
155,Priya Das,19,Female,0.72,32.48,0.79,8,46,6,71.54,B,0,Loved the teaching style,Positive
156,Arun Das,24,Female,1,31.44,0.53,5,37,7,66.95,C,0,Can be improved,Neutral
157,Kavya Sharma,27,Male,0.3,26.82,0.66,5,24,1,35.15,Fail,0,Waste of time,Negative
158,Ravi Reddy,20,Male,0.81,45.02,0.83,5,33,7,79.86,B,0,Excellent platform for learning,Positive
159,Arun Singh,20,Male,0.7,41.53,0.81,7,27,4,66.2,C,0,Average experience,Neutral
160,Karthik Nair,21,Male,0.76,55.46,0.73,4,39,0,71.91,B,0,Excellent platform for learning,Positive
161,Vijay Reddy,19,Male,0.8,44.58,0.89,5,47,8,76.12,B,0,Loved the teaching style,Positive
162,Karthik Verma,26,Male,0.52,28.86,0.51,7,42,9,55.04,C,0,Can be improved,Neutral
163,Anjali Reddy,19,Male,0.96,38.58,0.75,4,35,1,69.25,C,0,Average experience,Neutral
164,Meena Gupta,26,Female,0.76,59.18,0.74,3,39,1,67.87,C,0,Can be improved,Neutral
165,Ravi Verma,22,Male,0.88,72.45,0.64,8,6,9,70.39,B,0,Loved the teaching style,Positive
166,Meena Reddy,18,Male,0.99,36.45,0.46,7,28,5,61.4,C,0,Average experience,Neutral
167,Suresh Iyer,27,Male,0.79,46.13,0.66,3,11,5,55.9,C,0,Nothing special,Neutral
168,Vijay Singh,18,Female,0.7,67.7,0.58,5,34,3,73.29,B,0,Helped me improve a lot,Positive
169,Arun Reddy,29,Male,1,39.01,0.59,8,33,3,79.51,B,0,Helped me improve a lot,Positive
170,Vijay Das,27,Female,0.46,7.02,0.79,7,10,3,45.39,D,1,Too difficult to follow,Negative
171,Ravi Das,24,Female,0.84,48.67,0.6,5,16,7,59.36,C,0,Okay course,Neutral
172,Arun Sharma,22,Female,0.88,38.51,1,8,18,8,70.35,B,0,Loved the teaching style,Positive
173,Sneha Reddy,23,Female,0.38,31.5,0.93,4,34,0,51.75,D,0,Poor explanations,Negative
174,Karthik Kumar,30,Female,0.5,61.66,0.68,6,45,8,68.32,C,0,Normal learning experience,Neutral
175,Karthik Patel,18,Male,0.82,46.85,0.81,6,6,2,67.71,C,0,Normal learning experience,Neutral
176,Vijay Kumar,27,Female,0.62,54.06,0.67,8,13,6,53.41,D,0,Not useful at all,Negative
177,Kavya Nair,30,Male,0.82,28.64,0.43,3,21,5,48.85,D,0,Not useful at all,Negative
178,Vijay Das,29,Male,0.93,14.23,0.76,3,7,4,57.74,C,0,Normal learning experience,Neutral
179,Karthik Sharma,18,Female,0.72,29.68,1,5,44,8,68.86,C,0,Average experience,Neutral
180,Karthik Nair,28,Female,0.82,47.18,0.7,3,16,8,58.38,C,0,Nothing special,Neutral
181,Anjali Patel,27,Male,0.69,40.71,0.41,3,9,7,45.49,D,0,Too difficult to follow,Negative
182,Priya Sharma,26,Female,0.57,40.56,0.65,6,25,5,55.28,C,0,Average experience,Neutral
183,Priya Nair,19,Male,0.88,25.32,0.77,7,2,5,62.63,C,0,Nothing special,Neutral
184,Anjali Singh,25,Female,1,60.75,0.39,6,7,7,65.56,C,0,Okay course,Neutral
185,Rahul Iyer,18,Female,0.93,49.53,0.91,9,10,3,73.43,B,0,Helped me improve a lot,Positive
186,Karthik Sharma,23,Female,1,57.58,0.68,9,40,9,86.41,A,0,Loved the teaching style,Positive
187,Anjali Verma,24,Male,1,33.1,1,3,44,2,83.8,B,0,Helped me improve a lot,Positive
188,Suresh Verma,30,Female,0.54,32.06,0.82,5,43,1,66.46,C,0,Average experience,Neutral
189,Meena Iyer,24,Male,0.85,10.04,0.53,5,34,5,55.14,C,0,Average experience,Neutral
190,Suresh Patel,19,Female,0.97,38.34,0.89,6,36,3,81.03,B,0,Excellent platform for learning,Positive
191,Divya Patel,28,Female,0.92,51.52,1,5,31,8,80.84,B,0,Great course and very helpful,Positive
192,Priya Singh,24,Female,1,33.12,0.92,4,35,5,75.03,B,0,Very engaging and informative,Positive
193,Arun Reddy,24,Male,0.57,19.55,0.57,7,14,0,36.49,Fail,0,Very confusing content,Negative
194,Rahul Das,20,Male,0.83,29.72,0.76,7,40,5,67.19,C,0,Average experience,Neutral
195,Divya Das,26,Female,0.72,55.94,0.25,4,38,5,53.06,D,0,Poor explanations,Negative
196,Rahul Singh,19,Female,0.48,56.1,0.91,7,0,7,58.44,C,0,Okay course,Neutral
197,Sneha Kumar,29,Female,0.43,63.19,0.55,4,2,5,42.64,D,0,Very confusing content,Negative
198,Divya Singh,25,Female,0.77,20.76,0.9,3,4,3,55.58,C,0,Can be improved,Neutral
199,Anjali Nair,27,Female,0.87,41.73,0.55,6,42,4,58.82,C,0,Nothing special,Neutral
200,Suresh Das,26,Male,0.85,7.69,0.84,6,46,5,72.29,B,0,Helped me improve a lot,Positive
201,Suresh Gupta,30,Male,0.7,37.05,0.69,9,36,3,65.12,C,0,Can be improved,Neutral
202,Ravi Sharma,27,Male,0.78,32.83,0.58,5,4,0,50.48,D,0,Very confusing content,Negative
203,Karthik Das,24,Male,0.63,40.14,0.73,3,38,7,61.69,C,0,Average experience,Neutral
204,Meena Nair,27,Male,0.33,84.07,0.53,8,44,3,61.43,C,0,Average experience,Neutral
205,Meena Nair,27,Male,0.56,49.66,0.76,8,4,5,55.08,C,0,Normal learning experience,Neutral
206,Suresh Singh,25,Male,0.91,21.72,0.69,8,49,1,71.13,B,0,Great course and very helpful,Positive
207,Vijay Iyer,25,Male,0.94,44.61,0.61,3,45,3,67.76,C,0,Can be improved,Neutral
208,Karthik Singh,24,Male,0.53,50.03,0.48,7,40,9,63.46,C,0,Okay course,Neutral
209,Arun Singh,26,Female,0.55,33.4,0.38,3,40,8,50.24,D,0,Not useful at all,Negative
210,Karthik Iyer,24,Male,0.81,46.33,1,6,33,5,78.43,B,0,Very engaging and informative,Positive
211,Meena Kumar,22,Male,0.99,21.59,0.82,3,22,2,69.52,C,0,Okay course,Neutral
212,Meena Kumar,26,Male,0.69,54.22,0.9,7,14,0,61.67,C,0,Okay course,Neutral
213,Meena Verma,18,Male,0.49,15.34,0.52,3,32,0,50.53,D,1,Poor explanations,Negative
214,Kavya Singh,25,Male,0.32,66.52,0.71,8,13,9,53.64,D,0,Not useful at all,Negative
215,Ravi Singh,27,Male,0.75,64.31,0.82,4,5,4,65.25,C,0,Normal learning experience,Neutral
216,Suresh Nair,23,Female,0.77,22.28,0.67,5,47,6,53.88,D,0,Poor explanations,Negative
217,Vijay Kumar,26,Female,0.87,52.8,0.85,3,35,2,73.57,B,0,Helped me improve a lot,Positive
218,Sneha Das,21,Male,0.6,35.79,0.36,6,45,2,50.47,D,0,Poor explanations,Negative
219,Karthik Nair,20,Female,0.58,42.45,0.56,7,3,9,58.08,C,0,Average experience,Neutral
220,Ravi Kumar,29,Male,0.72,37.61,0.51,7,30,6,60.18,C,0,Okay course,Neutral
221,Arun Iyer,18,Male,0.94,30.07,0.54,8,0,7,57.66,C,0,Normal learning experience,Neutral
222,Rahul Kumar,25,Male,0.55,41.03,1,4,8,9,62.37,C,0,Average experience,Neutral
223,Karthik Iyer,27,Female,0.66,23.78,0.74,3,25,4,56.08,C,0,Average experience,Neutral
224,Kavya Gupta,19,Female,0.96,26.31,0.79,3,17,2,68.62,C,0,Normal learning experience,Neutral
225,Suresh Singh,30,Male,0.58,72.18,0.46,5,43,1,60.79,C,0,Average experience,Neutral
226,Kavya Gupta,21,Female,1,11.62,0.59,5,27,6,55.74,C,0,Can be improved,Neutral
227,Meena Kumar,29,Male,0.44,44.02,0.99,8,24,1,56.08,C,0,Can be improved,Neutral
228,Vijay Reddy,28,Male,0.88,16.76,0.58,7,38,8,71.23,B,0,Great course and very helpful,Positive
229,Meena Sharma,29,Female,0.86,64.43,0.62,7,32,3,69.67,C,0,Okay course,Neutral
230,Priya Nair,24,Female,0.63,24.78,0.57,6,12,0,43.24,D,0,Very confusing content,Negative
231,Karthik Nair,27,Female,0.85,54.48,0.74,8,7,1,64.99,C,0,Nothing special,Neutral
232,Priya Iyer,18,Female,0.53,50.99,0.43,4,22,1,46.45,D,0,Not useful at all,Negative
233,Kavya Gupta,27,Male,0.36,30.57,0.54,7,12,8,43.32,D,0,Waste of time,Negative
234,Divya Verma,23,Male,0.68,22.15,0.95,6,16,7,61.03,C,0,Can be improved,Neutral
235,Kavya Nair,18,Female,0.64,18.89,0.71,3,29,4,56.98,C,0,Nothing special,Neutral
236,Suresh Sharma,29,Male,0.7,34.05,0.79,7,15,5,63.19,C,0,Normal learning experience,Neutral
237,Rahul Das,26,Female,0.69,33.88,0.47,4,26,8,43.09,D,0,Poor explanations,Negative
238,Karthik Verma,29,Male,0.38,47.62,0.48,6,17,6,33.96,Fail,0,Very confusing content,Negative
239,Rahul Sharma,29,Male,0.84,32.04,1,6,41,0,85.27,A,0,Helped me improve a lot,Positive
240,Sneha Nair,18,Male,0.77,38.52,0.88,8,13,5,66.35,C,0,Nothing special,Neutral
241,Priya Verma,22,Female,0.68,33.25,0.59,5,1,1,54.86,D,0,Waste of time,Negative
242,Rahul Reddy,19,Female,0.89,41.8,0.56,3,35,0,75.01,B,0,Very engaging and informative,Positive
243,Arun Gupta,22,Male,1,48.37,0.7,3,5,8,58.11,C,0,Nothing special,Neutral
244,Karthik Patel,21,Male,0.59,45.27,0.89,9,3,3,46.11,D,0,Not useful at all,Negative
245,Ravi Iyer,22,Female,0.56,37.84,0.46,8,1,6,49.37,D,0,Not useful at all,Negative
246,Arun Singh,27,Female,0.71,62.36,0.73,3,22,2,61.39,C,0,Can be improved,Neutral
247,Vijay Sharma,24,Male,0.61,52.82,0.81,3,3,3,52.15,D,0,Waste of time,Negative
248,Rahul Nair,29,Male,0.44,53.69,0.8,9,49,4,78.18,B,0,Great course and very helpful,Positive
249,Vijay Das,26,Male,0.72,54.84,0.6,6,21,6,54.91,D,0,Waste of time,Negative
250,Kavya Iyer,22,Male,0.93,51.43,0.69,5,20,5,67.01,C,0,Average experience,Neutral
251,Arun Singh,30,Female,0.83,60.51,0.5,7,0,4,61.9,C,0,Normal learning experience,Neutral
252,Divya Sharma,26,Male,0.83,56.14,0.68,3,10,4,59.35,C,0,Average experience,Neutral
253,Kavya Kumar,25,Male,0.51,39.4,0.93,5,40,3,59.77,C,0,Can be improved,Neutral
254,Divya Nair,19,Male,0.69,55.39,0.76,3,0,1,53.92,D,0,Poor explanations,Negative
255,Suresh Kumar,23,Female,0.43,33.9,0.68,5,33,7,56.29,C,0,Nothing special,Neutral
256,Divya Kumar,22,Male,0.81,51.99,0.57,7,18,4,63.24,C,0,Average experience,Neutral
257,Divya Nair,26,Male,0.77,65.83,0.65,3,22,0,63.62,C,0,Okay course,Neutral
258,Divya Sharma,27,Male,0.59,59.48,0.5,9,18,6,50.56,D,0,Not useful at all,Negative
259,Vijay Sharma,19,Male,0.63,57.92,0.95,8,31,7,62.17,C,0,Okay course,Neutral
260,Karthik Verma,21,Male,0.95,28.65,0.42,4,2,0,58.74,C,0,Normal learning experience,Neutral
261,Arun Singh,21,Male,0.58,26.79,0.89,4,20,3,57.19,C,0,Average experience,Neutral
262,Vijay Das,28,Female,1,66.99,0.85,6,33,9,84.47,B,0,Excellent platform for learning,Positive
263,Kavya Sharma,21,Female,0.86,36.84,0.58,5,13,9,51.76,D,0,Waste of time,Negative
264,Suresh Verma,28,Female,0.87,42.22,0.6,5,45,0,64.89,C,0,Average experience,Neutral
